"district","county","spatial.id","sources","time.of.first.protest","city_county","cities","districtcapital","dist_border","protests53","poland","WGTV","dist_Berlin","exits_89","pop_change_80to88","pop_county.1984","sum_im.1984","zersetz.1984","zersetz_and_prevent.1984","percentage_employed_persons.1984","percentage_construction_workers.1984","percentage_farmers.1984","industrial_productivity.1984","available_flats.1984","theater_performances.1984","theater_guests.1984","flats_per_ht.1984","hospital_beds_per_ht.1984","theater_guests_per_ht.1984","theater_perf_per_ht.1984","percentage_female.1984","pop.log.1984","ovs_clean.1984","opks_clean.1984","sum_im_clean.1984","ims_clean.1984","pop_change_yearly.1984","petition_sum.1984","pop_county.1985","sum_im.1985","parrests.1985","zersetz.1985","zersetz_and_prevent.1985","pop.log.1985","ovs_clean.1985","opks_clean.1985","sum_im_clean.1985","ims_clean.1985","pop_change_yearly.1985","petition_sum.1985","pop_county.1986","sum_im.1986","parrests.1986","zersetz.1986","zersetz_and_prevent.1986","pop.log.1986","ovs_clean.1986","opks_clean.1986","sum_im_clean.1986","ims_clean.1986","pop_change_yearly.1986","petition_sum.1986","pop_county.1987","sum_im.1987","parrests.1987","zersetz.1987","zersetz_and_prevent.1987","percentage_employed_persons.1987","percentage_construction_workers.1987","percentage_farmers.1987","industrial_productivity.1987","available_flats.1987","theater_performances.1987","theater_guests.1987","flats_per_ht.1987","hospital_beds_per_ht.1987","theater_guests_per_ht.1987","theater_perf_per_ht.1987","percentage_female.1987","pop.log.1987","ovs_clean.1987","opks_clean.1987","sum_im_clean.1987","ims_clean.1987","pop_change_yearly.1987","petition_sum.1987","pop_county.1988","sum_im.1988","parrests.1988","zersetz.1988","zersetz_and_prevent.1988","pop.log.1988","ovs_clean.1988","opks_clean.1988","sum_im_clean.1988","ims_clean.1988","petition_sum.1988","sum.participants","n.protest.events","OPKs_DVP_86","OPKs_DVP_87","OPKs_DVP_88","ovs.sum","petition.sum","zersetz_and_prevent.sum","parrests.sum","OPKs_DVP_sum","sum.participants_ht","mean.participants_ht","pop_county.1984.log","pop_county.1985.log","pop_county.1986.log","pop_county.1987.log"
"Leipzig","Altenburg","AltenburgLeipzig","Schwabe",52,0,3,0,73.0069864719,4,0,1,182.502250483,630,-0.066048512324415,108264,259,0,0,706.9,6.6,8.3,176,19437,2262,1205,17953.3362890712,1230,1113.02002512377,2089.33717579251,0.535476878612717,11.5923279677563,2,47,259,230,-0.935160953827572,4627,107274,277,5,0,0,11.5831415879799,5,38,277,241,-0.914431389935713,5023,105983,275,7,0,0,11.5710339828739,4,30,275,236,-1.20346029792867,4586,105357,289,7,0,0,705,6.5,8.3,189,19031,2048,948,18063.3465265716,1200,899.797830234346,1943.86704253158,0.530966325036603,11.5651098622077,6,33,289,251,-0.59066076634932,4198,104653,278,23,0,0,11.5584053944484,9,25,278,240,NA,38310,14,35,28,32,26,18434,0,42,95,35385.7237863002,2527.55169902144,11.5923279677563,11.5831415879799,11.5710339828739,11.5651098622077
"Frankfurt","Angermuende","AngermuendeFrankfurt","Schwabe",62,0,4,0,170.015976205,3,1,1,82.7226154042,25,-0.0659503420046319,35588,283,0,3,316.7,8.7,16.1,261,8560,983,171,24053.0515904237,850,480.499044621783,2762.16702259189,0.519807583474816,10.4797637813647,5,35,283,234,-1.1499361146603,518,35288,284,2,0,1,10.4712982417848,6,35,284,235,-0.842980780038215,862,35177,276,2,0,4,10.4681477389305,4,35,276,229,-0.314554522783949,537,34926,265,2,0,2,323.3,8.2,16,308,8218,1087,182,23529.7486113497,810,521.101758002634,3112.2945656531,0.514394045780087,10.4609868164998,3,34,265,223,-0.713534411689456,574,34685,248,3,0,4,10.4540625958194,5,33,248,206,NA,2230,9,30,27,24,23,2491,14,9,81,6266.1571316174,696.239681290822,10.4797637813647,10.4712982417848,10.4681477389305,10.4609868164998
"Neubrandenburg","Anklam","AnklamNeubrandenburg","Schwabe",51,0,1,0,161.293873193,3,0,0,146.546026934,25,-0.076688277885571,40261,219,NA,NA,302.8,8.7,26.8,218,6959,713,168,17284.7172201386,950,417.277265840391,1770.94458657261,0.515723270440252,10.6031385374347,0,15,219,205,-1.1490584104692,820,40039,213,1,NA,0,10.5976092580923,3,9,213,203,-0.551402101289089,706,39634,199,2,NA,NA,10.5874426147272,2,16,199,191,-1.01151377407028,763,39305,192,2,NA,0,307,8.1,27.1,239,7629,775,175,19409.74430734,930,445.235975066785,1971.75931815291,0.51241134751773,10.5791070162279,1,12,192,185,-0.830095372659837,693,39021,170,1,NA,1,10.5718552417318,1,11,170,161,560,9000,4,14,12,14,7,3542,1,6,40,22354.1392414495,5588.53481036239,10.6031385374347,10.5976092580923,10.5874426147272,10.5791070162279
"Karl-Marx-Stadt","Annaberg","AnnabergKarl-Marx-Stadt","Schwabe",62,0,7,0,66.7620815318,1,0,1,222.10838757,406,-0.044159527464929,83535,NA,NA,NA,971.5,6,5.9,196,25058,2589,911,29997.0072424732,870,1090.56084276052,3099.29969473873,0.535546027208724,11.3330209846919,NA,NA,NA,NA,-0.785072925079576,6957,83033,253,10,NA,2,11.3269933981221,21,39,253,211,-0.600945711378464,2378,82337,253,3,NA,NA,11.3185758603633,NA,NA,253,205,-0.838220948297665,2678,81859,266,5,NA,NA,962.6,5.9,6,216,26486,2527,820,32355.6359105291,940,1001.72247401019,3087.01547783384,0.532388772607739,11.3127535339933,14,35,266,214,-0.580540947569137,NA,81559,257,8,NA,0,11.309081963701,17,34,257,206,NA,54350,26,44,52,52,52,12013,2,26,148,65062.5486323098,2502.4057166273,11.3330209846919,11.3269933981221,11.3185758603633,11.3127535339933
"Erfurt","Apolda","ApoldaErfurt","Schwabe",64,0,2,0,59.7936833278,2,0,1,208.691942632,169,-0.0348791278243008,49611,170,0,1,637.4,6.4,11.4,223,14197,2331,823,28616.6374392776,1050,1658.90629094354,4698.55475600169,0.525988198205481,10.8119678623183,3,32,170,144,-0.527328868749248,NA,49236,189,3,NA,2,10.8043803422302,1,30,189,163,-0.755880752252525,NA,49031,197,7,NA,NA,10.8002080301134,2,24,197,171,-0.416362011536274,NA,49209,196,7,NA,NA,645.9,6.2,11.3,258,14027,2366,777,28504.9482818184,1030,1578.97945497775,4808.06356560792,0.52273645101365,10.8038318125806,0,NA,196,172,0.363035630519467,NA,48866,NA,7,NA,NA,10.7968371371087,NA,NA,NA,NA,823,20960,11,31,38,24,6,823,3,24,93,42248.6948459011,3840.79044053646,10.8119678623183,10.8043803422302,10.8002080301134,10.8038318125806
"Erfurt","Arnstadt","ArnstadtErfurt","Schwabe",27,0,2,0,40.3518828169,0,0,1,254.734419251,284,-0.0103267410588253,66724,173,0,0,637.4,6.4,11.4,223,14197,2331,823,21277.2016066183,1050,1233.43924225166,3493.49559378934,0.525988198205481,11.1083199872739,4,30,173,139,-0.242203151631134,1004,66581,NA,10,NA,2,11.1061745305416,6,21,NA,NA,-0.214315688507883,NA,66460,188,8,NA,NA,11.1043555419086,3,31,188,152,-0.181733527582944,NA,66549,195,3,NA,NA,645.9,6.2,11.3,258,14027,2366,777,21077.7021442847,1030,1167.56074471442,3555.27506048175,0.52273645101365,11.1056937974143,2,NA,195,161,0.133915136924466,949,66606,NA,8,NA,NA,11.1065499425607,NA,NA,NA,NA,996,71400,23,31,38,24,15,2949,2,29,93,107007.973143097,4652.520571439,11.1083199872739,11.1061745305416,11.1043555419086,11.1056937974143
"Halle","Artern","ArternHalle","Schwabe",64,0,4,0,46.7685353687,5,0,1,201.15341657,89,-0.0191538174251721,55501,NA,NA,NA,927.2,6.2,9.6,190,21290,3497,1068,38359.6691951496,960,1924.28965243869,6300.78737320048,0.527598844957797,10.9241563175902,3,28,NA,NA,-0.678239083750895,NA,55450,NA,3,1,1,10.9232369927785,NA,NA,NA,NA,-0.0918902362119601,1129,55314,NA,5,NA,NA,10.9207813200266,4,24,NA,NA,-0.24526600541028,1283,55233,189,2,NA,NA,925.5,6.1,9.8,199,20420,3625,1202,36970.6516032082,940,2176.23522169717,6563.10538989372,0.524277846465101,10.9193158797253,4,24,189,176,-0.146436706801171,1287,55152,181,4,NA,NA,10.9178482887566,NA,NA,181,174,1226,6350,5,91,71,61,11,4925,1,14,223,11441.2352930578,2288.24705861156,10.9241563175902,10.9232369927785,10.9207813200266,10.9193158797253
"Halle","Aschersleben","AscherslebenHalle","Schwabe",33,0,4,0,42.43827042,7,0,1,160.044585371,147,-0.0453166504579565,66313,NA,NA,NA,927.2,6.2,9.6,190,21290,3497,1068,32105.3187157873,960,1610.54393557824,5273.47578906097,0.527598844957797,11.1021412353845,8,50,NA,NA,-0.532489350212996,NA,66236,NA,8,0,0,11.1009794007624,NA,NA,NA,NA,-0.11611599535536,776,65765,NA,4,NA,NA,11.0938430609029,11,38,NA,NA,-0.711093665076393,1141,65768,260,1,NA,NA,925.5,6.1,9.8,199,20420,3625,1202,31048.5342415765,940,1827.63654056684,5511.79905121032,0.524277846465101,11.093888676832,9,41,260,228,0.00456169695126587,869,65771,245,16,NA,NA,11.0939342906803,NA,NA,245,213,NA,18116,7,91,71,61,28,2786,0,29,223,27318.9269072429,3902.70384389185,11.1021412353845,11.1009794007624,11.0938430609029,11.093888676832
"Karl-Marx-Stadt","Aue","AueKarl-Marx-Stadt","Schwabe",33,0,6,0,45.9335024489,2,0,1,226.25337727,823,-0.055397715968326,122087,NA,NA,NA,971.5,6,5.9,196,25058,2589,911,20524.7077903462,870,746.189192952567,2120.6189029135,0.535546027208724,11.712489184324,NA,NA,NA,NA,-0.356664816688975,1611,120877,310,6,NA,8,11.7025287786373,26,62,310,257,-0.991096513142267,1140,119671,315,14,NA,NA,11.6925015898458,NA,NA,315,262,-0.997708414338543,1928,118920,320,5,NA,NA,962.6,5.9,6,216,26486,2527,820,22272.115708039,940,689.5391860074,2124.95795492768,0.532388772607739,11.686206277112,35,73,320,266,-0.62755387687911,1231,118694,324,9,NA,1,11.6843040317212,33,68,324,279,1373,127105,47,44,52,52,94,7283,9,34,148,104110.183721445,2215.11029194563,11.712489184324,11.7025287786373,11.6925015898458,11.686206277112
"Karl-Marx-Stadt","Auerbach","AuerbachKarl-Marx-Stadt","Schwabe",35,0,4,0,27.2359235335,2,0,1,235.971770124,185,-0.0324224368193959,71699,169,NA,NA,971.5,6,5.9,196,25058,2589,911,34948.8835269669,870,1270.58954797138,3610.92902271998,0.535546027208724,11.1802320794891,21,26,169,144,-0.372392902302444,1888,71231,185,2,NA,2,11.1736833959024,23,38,185,158,-0.652728768881016,1450,71146,189,3,NA,NA,11.1724893826825,NA,NA,189,164,-0.119330066965226,2085,70848,187,6,NA,NA,962.6,5.9,6,216,26486,2527,820,37384.2592592593,940,1157.40740740741,3566.7908762421,0.532388772607739,11.1682920160683,14,27,187,159,-0.418856998285216,1911,70638,190,5,NA,1,11.1653235223063,5,30,190,155,1274,71090,22,44,52,52,63,8608,3,16,148,99150.6157686997,4506.84617130453,11.1802320794891,11.1736833959024,11.1724893826825,11.1682920160683
